19.018 14.303 15.082 90 90 90
1 0 0
0 1 0
0 0 1
0.3244 0.2018 0.1032 Si
0.8244 0.7018 0.3532 Si
0.6756 0.2018 0.1032 Si
0.1756 0.7018 0.3532 Si
0.3244 0.7982 0.1032 Si
0.8244 0.2982 0.3532 Si
0.6756 0.7982 0.1032 Si
0.1756 0.2982 0.3532 Si
0.6756 0.7982 0.3968 Si
0.1756 0.2982 0.1468 Si
0.3244 0.7982 0.3968 Si
0.8244 0.2982 0.1468 Si
0.6756 0.2018 0.3968 Si
0.1756 0.7018 0.1468 Si
0.3244 0.2018 0.3968 Si
0.8244 0.7018 0.1468 Si
0.0843 0.2004 0.0 Si
0.5843 0.7004 0.25 Si
0.9157 0.2004 0.0 Si
0.4157 0.7004 0.25 Si
0.0843 0.7996 0.0 Si
0.5843 0.2996 0.25 Si
0.9157 0.7996 0.0 Si
0.4157 0.2996 0.25 Si
0.2743 0.0 0.14675 Si
0.7743 0.5 0.39675 Si
0.7257 0.0 0.14675 Si
0.2257 0.5 0.39675 Si
0.7257 0.0 0.35325 Si
0.2257 0.5 0.10325 Si
0.2743 0.0 0.35325 Si
0.7743 0.5 0.10325 Si
0.1553 0.0 0.0 Si
0.6553 0.5 0.25 Si
0.8447 0.0 0.0 Si
0.3447 0.5 0.25 Si
0.3244 0.2018 0.6032 Si
0.8244 0.7018 0.8532 Si
0.6756 0.2018 0.6032 Si
0.1756 0.7018 0.8532 Si
0.3244 0.7982 0.6032 Si
0.8244 0.2982 0.8532 Si
0.6756 0.7982 0.6032 Si
0.1756 0.2982 0.8532 Si
0.6756 0.7982 0.8968 Si
0.1756 0.2982 0.6468 Si
0.3244 0.7982 0.8968 Si
0.8244 0.2982 0.6468 Si
0.6756 0.2018 0.8968 Si
0.1756 0.7018 0.6468 Si
0.3244 0.2018 0.8968 Si
0.8244 0.7018 0.6468 Si
0.0843 0.2004 0.5 Si
0.5843 0.7004 0.75 Si
0.9157 0.2004 0.5 Si
0.4157 0.7004 0.75 Si
0.0843 0.7996 0.5 Si
0.5843 0.2996 0.75 Si
0.9157 0.7996 0.5 Si
0.4157 0.2996 0.75 Si
0.2743 0.0 0.64675 Si
0.7743 0.5 0.89675 Si
0.7257 0.0 0.64675 Si
0.2257 0.5 0.89675 Si
0.7257 0.0 0.85325 Si
0.2257 0.5 0.60325 Si
0.2743 0.0 0.85325 Si
0.7743 0.5 0.60325 Si
0.1553 0.0 0.5 Si
0.6553 0.5 0.75 Si
0.8447 0.0 0.5 Si
0.3447 0.5 0.75 Si
