CN,Elmt,Label,x,y,z,xor,yor,zor,d,[A]
[7],Al,T1,1.560033,1.893067,1.771767,15.22096,-18.47531,26.16368,,
,Al,T1,1.560033,1.893067,1.771767,15.22096,-18.47531,26.16368,0,
,Al,T1,1.560033,1.893067,1.771767,15.22096,-18.47531,26.16368,0,
,Al,T1,1.7733,1.7736,1.8949,12.12904,-21.00101,27.98199,4.38695,
,Si,T1,1.333633,1.893367,1.561567,16.77307,-15.79408,23.05966,4.38554,
,Si,T1,1.559733,1.666367,1.561567,12.12288,-18.47176,23.05966,4.38555,
,Si,T1,1.559733,1.893367,1.561567,15.22711,-18.47176,23.05966,3.10403,
,Si,T1,1.7733,1.9997,1.8949,15.22096,-21.00101,27.98199,3.11214,
,Si,T1,1.7733,1.7736,1.8949,12.12904,-21.00101,27.98199,4.38695,
,Si,T1,1.560033,1.666967,1.771767,12.12904,-18.47531,26.16368,3.09192,
,Si,T1,1.560033,1.893067,1.771767,15.22096,-18.47531,26.16368,0,
,Si,T1,1.333033,1.893067,1.771767,16.77307,-15.78698,26.16368,3.10422,
,Si,T1,1.333633,1.893367,1.561567,16.77307,-15.79408,23.05966,4.38554,
,Si,T1,1.559733,1.666367,1.561567,12.12288,-18.47176,23.05966,4.38555,
,Si,T1,1.559733,1.893367,1.561567,15.22711,-18.47176,23.05966,3.10403,
,Si,T1,1.7733,1.9997,1.8949,15.22096,-21.00101,27.98199,3.11214,
,Si,T1,1.7733,1.7736,1.8949,12.12904,-21.00101,27.98199,4.38695,
,Si,T1,1.560033,1.666967,1.771767,12.12904,-18.47531,26.16368,3.09192,
,Si,T1,1.560033,1.893067,1.771767,15.22096,-18.47531,26.16368,0,
,Si,T1,1.333033,1.893067,1.771767,16.77307,-15.78698,26.16368,3.10422,
,Si,T1,1.333633,1.893367,1.561567,16.77307,-15.79408,23.05966,4.38554,
,Si,T1,1.559733,1.666367,1.561567,12.12288,-18.47176,23.05966,4.38555,
,Si,T1,1.559733,1.893367,1.561567,15.22711,-18.47176,23.05966,3.10403,
,Si,T1,1.7733,1.9997,1.8949,15.22096,-21.00101,27.98199,3.11214,
,Si,T1,1.7733,1.7736,1.8949,12.12904,-21.00101,27.98199,4.38695,
,Si,T1,1.560033,1.666967,1.771767,12.12904,-18.47531,26.16368,3.09192,
,Si,T1,1.560033,1.893067,1.771767,15.22096,-18.47531,26.16368,0,
,Si,T1,1.333033,1.893067,1.771767,16.77307,-15.78698,26.16368,3.10422,
,Si,T1,1.333633,1.893367,1.561567,16.77307,-15.79408,23.05966,4.38554,
,Si,T1,1.559733,1.666367,1.561567,12.12288,-18.47176,23.05966,4.38555,
,Si,T1,1.559733,1.893367,1.561567,15.22711,-18.47176,23.05966,3.10403,
,Si,T1,1.7733,1.9997,1.8949,15.22096,-21.00101,27.98199,3.11214,
