CN,Elmt,Label,x,y,z,xor,yor,zor,d,[A]
---------------------------------------------------------------------------------------------------------,,,,,,,,,,
[4],Al,T2,0.666967,0.106933,0.228233,-2.35021,8.82157,-0.07957,,
,,,,,,,,,,
[5],Al,T2,0.893067,0.560033,0.228233,-0.33428,10.16633,4.70816,,
,,,,,,,,,,
[5],Al,T2,0.666967,0.560033,0.228233,1.56817,7.73158,4.59495,,
,,,,,,,,,,
[5],Al,T2,0.439967,0.333033,0.228233,1.51511,5.83322,2.13939,,
,,,,,,,,,,
[2],O,O1,0.568667,0.137333,0.456033,1.07239,9.58292,-1.32902,,
,Si,T1,0.666367,0.106633,0.438433,-0.19539,10.5626,-1.47986,1.60928,
,Si,T1,0.440267,0.106633,0.438433,1.70706,8.12785,-1.59307,1.60928,
,,,,,,,,,,
[2],O,O1,0.235333,0.470667,0.789367,10.17297,7.96157,-0.27218,,
,Si,T1,0.333033,0.439967,0.771767,8.9052,8.94125,-0.42303,1.60928,
,Si,T1,0.106933,0.439967,0.771767,10.80764,6.5065,-0.53624,1.60928,
,,,,,,,,,,
[2],O,O1,0.098,0.902,0.8773,15.95906,6.17581,3.52465,,
,Si,T1,0.0003,0.7736,0.8949,15.85096,5.57887,2.03409,1.60928,
,Si,T1,0.2264,0.9997,0.8949,15.9038,7.46971,4.47993,1.60928,
,,,,,,,,,,
[2],O,O1,0.764667,0.235333,0.210633,-2.2421,9.41851,1.41098,,
,Si,T1,0.893067,0.333033,0.228233,-2.29736,10.7124,2.36626,1.60928,
,,,,,,,,,,
[2],O,O1,0.431333,0.568667,0.543967,6.85848,7.79716,2.46782,,
,Si,T1,0.333633,0.440267,0.561567,6.75037,7.20022,0.97726,1.60928,
,Si,T1,0.559733,0.666367,0.561567,6.80322,9.09105,3.42309,1.60928,
,,,,,,,,,,
[2],O,O1,0.098,0.196,0.8773,9.85362,7.87418,-3.75898,,
,Si,T1,0.0003,0.2267,0.8949,11.1214,6.89451,-3.60814,1.60928,
,Si,T1,0.2264,0.2267,0.8949,9.21895,9.32925,-3.49493,1.60927,
,,,,,,,,,,
[2],O,O1,0.902,0.804,0.1227,0.61974,8.79865,7.93091,,
,Si,T1,0.9997,0.7733,0.1051,-0.64804,9.77832,7.78007,1.60928,
,Si,T1,0.7736,0.7733,0.1051,1.25441,7.34358,7.66685,1.60927,
,,,,,,,,,,
[2],O,O1,0.431333,0.862667,0.543967,9.40097,7.08991,5.50094,,
,Si,T1,0.333633,0.893367,0.561567,10.66875,6.11023,5.65178,1.60927,
,Si,T1,0.559733,0.893367,0.561567,8.7663,8.54498,5.765,1.60928,
,,,,,,,,,,
[2],O,O1,0.804,0.902,0.8773,10.01865,13.77833,3.87815,,
,Si,T1,0.7733,0.9997,0.8949,11.30208,13.35896,4.75377,1.60928,
,Si,T1,0.7733,0.7736,0.8949,9.34679,13.90287,2.42115,1.60928,
,,,,,,,,,,
[2],O,O1,0.470667,0.235333,0.210633,0.23167,6.25259,1.26377,,
,Si,T1,0.439967,0.106933,0.228233,-0.44019,6.37713,-0.19323,1.60928,
,,,,,,,,,,
[2],O,O1,0.137333,0.568667,0.543967,9.33225,4.63124,2.32061,,
,Si,T1,0.106633,0.666367,0.561567,10.61569,4.21187,3.19622,1.60928,
,Si,T1,0.106633,0.440267,0.561567,8.66039,4.75578,0.8636,1.60928,
,,,,,,,,,,
[2],O,O1,0.196,0.098,0.1227,0.45472,2.8945,0.29377,,
,Si,T1,0.2267,0.0003,0.1051,-0.82872,3.31387,-0.58184,1.60928,
,Si,T1,0.2267,0.2264,0.1051,1.12658,2.76995,1.75078,1.60928,
,,,,,,,,,,
[2],O,O1,0.862667,0.431333,0.456033,1.14111,12.04159,1.85132,,
,Si,T1,0.893367,0.333633,0.438433,-0.14233,12.46095,0.97571,1.60928,
,Si,T1,0.893367,0.559733,0.438433,1.81297,11.91704,3.30833,1.60928,
,,,,,,,,,,
[2],O,O1,0.529333,0.764667,0.789367,10.24169,10.42024,2.90815,,
,Si,T1,0.560033,0.666967,0.771767,8.95825,10.83961,2.03254,1.60928,
,Si,T1,0.560033,0.893067,0.771767,10.91355,10.29569,4.36516,1.60928,
,,,,,,,,,,
[2],O,O1,0.235333,0.764667,0.789367,12.71546,7.25432,2.76094,,
,Si,T1,0.333033,0.893067,0.771767,12.82357,7.85126,4.2515,1.60928,
,Si,T1,0.106933,0.666967,0.771767,12.77072,5.96043,1.80567,1.60928,
,,,,,,,,,,
[2],O,O1,0.568667,0.431333,0.456033,3.61488,8.87567,1.70411,,
,Si,T1,0.666367,0.559733,0.438433,3.72299,9.47261,3.19466,1.60928,
,Si,T1,0.440267,0.333633,0.438433,3.67014,7.58177,0.74883,1.60928,
,,,,,,,,,,
[2],O,O1,0.764667,0.529333,0.210633,0.30039,8.71126,4.44411,,
,,,,,,,,,,
[2],O,O1,0.902,0.098,0.1227,-5.4857,10.49702,0.64728,,
,Si,T1,0.7736,0.0003,0.1051,-5.43044,9.20313,-0.308,1.60928,
,Si,T1,0.9997,0.2264,0.1051,-5.37759,11.09396,2.13783,1.60928,
,,,,,,,,,,
[1],O,O2,0.643367,0.999933,0.500033,8.3541,8.67788,7.31522,,
,Si,T1,0.666367,1.106633,0.438433,8.45255,8.15697,8.8369,1.61138,
,Si,T1,0.559733,0.893367,0.561567,8.7663,8.54498,5.765,1.60958,
,,,,,,,,,,
[2],O,O2,0.310033,0.333267,0.833367,8.80675,9.46215,-1.94471,,
,Si,T1,0.333033,0.439967,0.771767,8.9052,8.94125,-0.42303,1.61138,
,Si,T1,0.2264,0.2267,0.8949,9.21895,9.32925,-3.49493,1.60959,
,,,,,,,,,,
[2],O,O2,0.0233,0.6899,0.8333,14.30284,5.516,1.59146,,
,Si,T1,0.0003,0.7736,0.8949,15.85096,5.57887,2.03409,1.61138,
,Si,T1,0.106933,0.666967,0.771767,12.77072,5.96043,1.80567,1.60959,
,,,,,,,,,,
[2],O,O2,0.689967,0.023233,0.166633,-3.89833,8.7587,-0.5222,,
,Si,T1,0.7736,0.0003,0.1051,-5.43044,9.20313,-0.308,1.60958,
,,,,,,,,,,
[2],O,O2,0.356633,0.356567,0.499967,5.20225,7.13735,0.53463,,
,Si,T1,0.333633,0.440267,0.561567,6.75037,7.20022,0.97726,1.61138,
,Si,T1,0.440267,0.333633,0.438433,3.67014,7.58177,0.74883,1.60958,
,,,,,,,,,,
[2],O,O2,0.0233,0.3334,0.8333,11.21985,6.3736,-2.08646,,
,Si,T1,0.0003,0.2267,0.8949,11.1214,6.89451,-3.60814,1.61138,
,Si,T1,0.106933,0.439967,0.771767,10.80764,6.5065,-0.53624,1.60958,
,,,,,,,,,,
[2],O,O2,0.689967,0.666733,0.166633,1.66662,7.21068,6.11663,,
,Si,T1,0.7736,0.7733,0.1051,1.25441,7.34358,7.66685,1.60958,
,,,,,,,,,,
[1],O,O2,0.356633,0.000067,0.499967,2.11926,7.99495,-3.14329,,
,Si,T1,0.333633,-0.106633,0.561567,2.02082,8.51586,-4.66497,1.61138,
,Si,T1,0.440267,0.106633,0.438433,1.70706,8.12785,-1.59307,1.60958,
,,,,,,,,,,
[2],O,O2,0.3101,0.3334,0.8333,8.80666,9.46199,-1.94286,,
,Si,T1,0.333033,0.439967,0.771767,8.9052,8.94125,-0.42303,1.60959,
,Si,T1,0.2264,0.2267,0.8949,9.21895,9.32925,-3.49493,1.61138,
,,,,,,,,,,
[2],O,O2,0.976767,0.666733,0.166633,-0.74657,10.29907,6.26024,,
,Si,T1,0.9997,0.7733,0.1051,-0.64804,9.77832,7.78007,1.60958,
,,,,,,,,,,
[1],O,O2,0.643433,0.000067,0.499967,-0.29393,11.08334,-2.99969,,
,Si,T1,0.666367,0.106633,0.438433,-0.19539,10.5626,-1.47986,1.60959,
,Si,T1,0.559733,-0.106633,0.561567,0.11837,10.9506,-4.55176,1.61138,
,,,,,,,,,,
[2],O,O2,0.6899,0.6666,0.1667,1.66671,7.21084,6.11478,,
,Si,T1,0.7736,0.7733,0.1051,1.25441,7.34358,7.66685,1.61138,
,,,,,,,,,,
[1],O,O2,0.356567,0.999933,0.500033,10.76729,5.58949,7.17161,,
,Si,T1,0.333633,0.893367,0.561567,10.66875,6.11023,5.65178,1.60959,
,Si,T1,0.440267,1.106633,0.438433,10.35499,5.72223,8.72369,1.61138,
,,,,,,,,,,
[2],O,O2,0.023233,0.333267,0.833367,11.21994,6.37376,-2.08831,,
,Si,T1,0.0003,0.2267,0.8949,11.1214,6.89451,-3.60814,1.60959,
,Si,T1,0.106933,0.439967,0.771767,10.80764,6.5065,-0.53624,1.61138,
,,,,,,,,,,
[2],O,O2,0.6666,0.9767,0.8333,11.37021,11.7534,4.87242,,
,Si,T1,0.7733,0.9997,0.8949,11.30208,13.35896,4.75377,1.61138,
