13.675 13.675 14.767 90 90 120
1 0 0
0 1 0
0 0 1
0.666967 0.106933 0.228233 Si
0.893067 0.560033 0.228233 Si
0.666967 0.560033 0.228233 Si
0.439967 0.333033 0.228233 Si
0.666367 0.106633 0.438433 Si
0.333033 0.439967 0.771767 Si
0.0003 0.7736 0.8949 Si
0.9997 0.7733 0.1051 Si
0.333633 0.440267 0.561567 Si
0.0003 0.2267 0.8949 Si
0.333033 0.893067 0.771767 Si
0.333633 0.893367 0.561567 Si
0.2264 0.9997 0.8949 Si
0.893067 0.333033 0.228233 Si
0.559733 0.666367 0.561567 Si
0.2264 0.2267 0.8949 Si
0.666367 0.559733 0.438433 Si
0.559733 0.893367 0.561567 Si
0.7736 0.0003 0.1051 Si
0.440267 0.333633 0.438433 Si
0.106933 0.666967 0.771767 Si
0.7736 0.7733 0.1051 Si
0.440267 0.106633 0.438433 Si
0.106933 0.439967 0.771767 Si
0.7733 0.9997 0.8949 Si
0.9997 0.2264 0.1051 Si
0.106633 0.666367 0.561567 Si
0.7733 0.7736 0.8949 Si
0.439967 0.106933 0.228233 Si
0.106633 0.440267 0.561567 Si
0.2267 0.0003 0.1051 Si
0.893367 0.333633 0.438433 Si
0.560033 0.666967 0.771767 Si
0.2267 0.2264 0.1051 Si
0.893367 0.559733 0.438433 Si
0.560033 0.893067 0.771767 Si
