19.018 14.303 15.082 90.0 90.0 90.0
2.0 0.0 0.0
0.0 2.0 0.0
0.0 0.0 2.0
0.3201 0.0918 0.12505 O
0.8201 0.5918 0.37505 O
0.6799 0.0918 0.12505 O
0.1799 0.5918 0.37505 O
0.3201 0.9082 0.12505 O
0.8201 0.4082 0.37505 O
0.6799 0.9082 0.12505 O
0.1799 0.4082 0.37505 O
0.6799 0.9082 0.37495 O
0.1799 0.4082 0.12495 O
0.3201 0.9082 0.37495 O
0.8201 0.4082 0.12495 O
0.6799 0.0918 0.37495 O
0.1799 0.5918 0.12495 O
0.3201 0.0918 0.37495 O
0.8201 0.5918 0.12495 O
0.3848 0.2493 0.16285 O
0.8848 0.7493 0.41285 O
0.6152 0.2493 0.16285 O
0.1152 0.7493 0.41285 O
0.3848 0.7507 0.16285 O
0.8848 0.2507 0.41285 O
0.6152 0.7507 0.16285 O
0.1152 0.2507 0.41285 O
0.6152 0.7507 0.33715 O
0.1152 0.2507 0.08715 O
0.3848 0.7507 0.33715 O
0.8848 0.2507 0.08715 O
0.6152 0.2493 0.33715 O
0.1152 0.7493 0.08715 O
0.3848 0.2493 0.33715 O
0.8848 0.7493 0.08715 O
0.3429 0.2162 0.0 O
0.8429 0.7162 0.25 O
0.6571 0.2162 0.0 O
0.1571 0.7162 0.25 O
0.3429 0.7838 0.0 O
0.8429 0.2838 0.25 O
0.6571 0.7838 0.0 O
0.1571 0.2838 0.25 O
0.25 0.25 0.125 O
0.75 0.75 0.375 O
0.75 0.25 0.125 O
0.25 0.75 0.375 O
0.25 0.75 0.125 O
0.75 0.25 0.375 O
0.75 0.75 0.125 O
0.25 0.25 0.375 O
0.1063 0.0918 0.0 O
0.6063 0.5918 0.25 O
0.8937 0.0918 0.0 O
0.3937 0.5918 0.25 O
0.1063 0.9082 0.0 O
0.6063 0.4082 0.25 O
0.8937 0.9082 0.0 O
0.3937 0.4082 0.25 O
0.0 0.2094 0.0 O
0.5 0.7094 0.25 O
0.0 0.7906 0.0 O
0.5 0.2906 0.25 O
0.2041 0.0 0.08715 O
0.7041 0.5 0.33715 O
0.7959 0.0 0.08715 O
0.2959 0.5 0.33715 O
0.7959 0.0 0.41285 O
0.2959 0.5 0.16285 O
0.2041 0.0 0.41285 O
0.7041 0.5 0.16285 O
0.2529 0.0 0.25 O
0.7529 0.5 0.0 O
0.7471 0.0 0.25 O
0.2471 0.5 0.0 O
0.3244 0.2018 0.1032 Si
0.8244 0.7018 0.3532 Si
0.6756 0.2018 0.1032 Si
0.1756 0.7018 0.3532 Si
0.3244 0.7982 0.1032 Si
0.8244 0.2982 0.3532 Si
0.6756 0.7982 0.1032 Si
0.1756 0.2982 0.3532 Si
0.6756 0.7982 0.3968 Si
0.1756 0.2982 0.1468 Si
0.3244 0.7982 0.3968 Si
0.8244 0.2982 0.1468 Si
0.6756 0.2018 0.3968 Si
0.1756 0.7018 0.1468 Si
0.3244 0.2018 0.3968 Si
0.8244 0.7018 0.1468 Si
0.0843 0.2004 0.0 Si
0.5843 0.7004 0.25 Si
0.9157 0.2004 0.0 Si
0.4157 0.7004 0.25 Si
0.0843 0.7996 0.0 Si
0.5843 0.2996 0.25 Si
0.9157 0.7996 0.0 Si
0.4157 0.2996 0.25 Si
0.2743 0.0 0.14675 Si
0.7743 0.5 0.39675 Si
0.7257 0.0 0.14675 Si
0.2257 0.5 0.39675 Si
0.7257 0.0 0.35325 Si
0.2257 0.5 0.10325 Si
0.2743 0.0 0.35325 Si
0.7743 0.5 0.10325 Si
0.1553 0.0 0.0 Si
0.6553 0.5 0.25 Si
0.8447 0.0 0.0 Si
0.3447 0.5 0.25 Si
0.3201 0.0918 0.62505 O
0.8201 0.5918 0.87505 O
0.6799 0.0918 0.62505 O
0.1799 0.5918 0.87505 O
0.3201 0.9082 0.62505 O
0.8201 0.4082 0.87505 O
0.6799 0.9082 0.62505 O
0.1799 0.4082 0.87505 O
0.6799 0.9082 0.87495 O
0.1799 0.4082 0.62495 O
0.3201 0.9082 0.87495 O
0.8201 0.4082 0.62495 O
0.6799 0.0918 0.87495 O
0.1799 0.5918 0.62495 O
0.3201 0.0918 0.87495 O
0.8201 0.5918 0.62495 O
0.3848 0.2493 0.66285 O
0.8848 0.7493 0.91285 O
0.6152 0.2493 0.66285 O
0.1152 0.7493 0.91285 O
0.3848 0.7507 0.66285 O
0.8848 0.2507 0.91285 O
0.6152 0.7507 0.66285 O
0.1152 0.2507 0.91285 O
0.6152 0.7507 0.83715 O
0.1152 0.2507 0.58715 O
0.3848 0.7507 0.83715 O
0.8848 0.2507 0.58715 O
0.6152 0.2493 0.83715 O
0.1152 0.7493 0.58715 O
0.3848 0.2493 0.83715 O
0.8848 0.7493 0.58715 O
0.3429 0.2162 0.5 O
0.8429 0.7162 0.75 O
0.6571 0.2162 0.5 O
0.1571 0.7162 0.75 O
0.3429 0.7838 0.5 O
0.8429 0.2838 0.75 O
